,Factor1,Factor2,Factor3,Register
brdcast_discussn_J8J_MAT.txt,0.0706807761426537,0.00737183037123109,-0.212054596953485,brdcast_discussion
brdcast_discussn_K6A_MAT.txt,-0.382916766697408,0.186195638931375,0.36606048673036,brdcast_discussion
brdcast_discussn_K6B_MAT.txt,-1.68648397190342,-0.500401554901576,0.535945771054951,brdcast_discussion
brdcast_discussn_KGH_MAT.txt,-0.11777381178963,-0.245686165271398,-1.38374766130378,brdcast_discussion
brdcast_discussn_KGK_MAT.txt,0.195829965334381,0.630622768269273,0.251187622422784,brdcast_discussion
brdcast_discussn_KJS_MAT.txt,-1.0259643399051,-0.324469605425851,0.687099874181789,brdcast_discussion
brdcast_discussn_KM2_MAT.txt,-0.274887663727411,0.237173724753031,-0.767711895527144,brdcast_discussion
brdcast_discussn_KM3_MAT.txt,-0.618951860085455,-0.386988540781679,-1.52200633053469,brdcast_discussion
brdcast_discussn_KN2_MAT.txt,-1.15602493887333,-0.119281787344059,-1.06565024557083,brdcast_discussion
brdcast_discussn_KRE_MAT.txt,-1.41906762465256,-0.451707847048563,1.60661479746441,brdcast_discussion
brdcast_discussn_KRF_MAT.txt,-1.00254542135941,-0.358385024449344,1.18382274955758,brdcast_discussion
brdcast_discussn_KRG_MAT.txt,-1.27526606708563,-0.0708245667570202,1.40832699255834,brdcast_discussion
brdcast_discussn_KRH_MAT.txt,-1.29727427136566,-0.039086447479116,1.18408210784307,brdcast_discussion
brdcast_discussn_KRK_MAT.txt,-1.09625665619286,0.105332223903726,1.54391665831517,brdcast_discussion
brdcast_discussn_KRL_MAT.txt,-0.476083336570782,-0.133954597535256,0.791986102935286,brdcast_discussion
brdcast_discussn_KS4_MAT.txt,-1.14792887556935,-0.708975106506052,1.5622234819635,brdcast_discussion
brdcast_discussn_KS7_MAT.txt,-1.54191061350733,0.572085170610597,-1.58192281121491,brdcast_discussion
brdcast_documentary_HE3_MAT.txt,-1.05275324766438,2.41660091055006,0.267000201649322,brdcast_documentary
brdcast_documentary_HE4_MAT.txt,-2.3562042575551,-0.612396775503328,0.539722075472456,brdcast_documentary
brdcast_documentary_HE5_MAT.txt,-0.952744118028298,0.70365863657238,0.810326562681835,brdcast_documentary
brdcast_documentary_HE6_MAT.txt,-1.87292212775617,-0.120010058469381,0.429088201064542,brdcast_documentary
